12-20 08:32:20.789 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Starting SpringBootDemo4Application using Java 17.0.9 with PID 16796 (C:\Users\HX\IdeaProjects\SpringBoot\SpringBootDemo4\target\classes started by HX in C:\Users\HX\IdeaProjects\SpringBoot)
12-20 08:32:20.791 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - No active profile set, falling back to 1 default profile: "default"
12-20 08:32:21.577 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
12-20 08:32:21.585 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
12-20 08:32:21.588 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
12-20 08:32:21.588 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
12-20 08:32:21.633 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12-20 08:32:21.633 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 797 ms
12-20 08:32:21.960 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
12-20 08:32:21.982 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
12-20 08:32:21.988 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Started SpringBootDemo4Application in 1.571 seconds (process running for 2.269)
23-12-20 08:32:53.102 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Starting SpringBootDemo4Application using Java 17.0.9 with PID 12532 (C:\Users\HX\IdeaProjects\SpringBoot\SpringBootDemo4\target\classes started by HX in C:\Users\HX\IdeaProjects\SpringBoot)
23-12-20 08:32:53.115 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - No active profile set, falling back to 1 default profile: "default"
23-12-20 08:32:53.704 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
23-12-20 08:32:53.710 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23-12-20 08:32:53.711 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
23-12-20 08:32:53.712 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
23-12-20 08:32:53.753 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23-12-20 08:32:53.753 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 608 ms
23-12-20 08:32:53.972 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23-12-20 08:32:53.987 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
23-12-20 08:32:53.992 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Started SpringBootDemo4Application in 1.168 seconds (process running for 1.777)
23-12-20 08:43:58.825 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Starting SpringBootDemo4Application using Java 17.0.9 with PID 10172 (C:\Users\HX\IdeaProjects\SpringBoot\SpringBootDemo4\target\classes started by HX in C:\Users\HX\IdeaProjects\SpringBoot)
23-12-20 08:43:58.828 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - No active profile set, falling back to 1 default profile: "default"
23-12-20 08:43:59.447 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
23-12-20 08:43:59.454 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23-12-20 08:43:59.456 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
23-12-20 08:43:59.457 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
23-12-20 08:43:59.501 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23-12-20 08:43:59.501 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 642 ms
23-12-20 08:43:59.748 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23-12-20 08:43:59.764 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
23-12-20 08:43:59.770 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Started SpringBootDemo4Application in 1.222 seconds (process running for 1.74)
23-12-20 08:44:12.364 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23-12-20 08:44:12.365 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23-12-20 08:44:12.366 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
23-12-20 08:44:12.390 [http-nio-8080-exec-1] INFO  c.i.springbootdemo4.controller.PrintLogController - 郭家旗打印日志！调用printLog方法！
23-12-20 11:36:12.698 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - Starting SpringBootDemo4Application using Java 21.0.1 on LAPTOP-MVCHB40V with PID 24880 (C:\Users\HX\IdeaProjects\SpringBoot\springbootdemo4\target\classes started by HX in C:\Users\HX\IdeaProjects\SpringBoot)
23-12-20 11:36:12.702 [main] INFO  c.i.springbootdemo4.SpringBootDemo4Application - No active profile set, falling back to default profiles: default
